ステージ名,開始条件,条件値,継続時間,構成（左から重み 4 / 3 / 2 / 0.8 / 0.2）,ドロップ呪文
7-1 (エクストラ),TimeElapsed,0,20,スライム / 木スライム / ジャンプスライム / はち / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,木スライム / 高速スライム / こうもり / 木こうもり / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,斧ゴブリン / 木ゴブリン / 石落としこうもり / 槍ゴブリン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,スライム / 水スライム / 火スライム / 高速スライム / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,ジグザグこうもり / 火ゴブリン / 槍ゴブリン / スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,高速スライム / はち / イノシシ / 火ゴブリン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,斧ゴブリン / 火ゴブリン / ジグザグこうもり / 石落としこうもり / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,火ゴブリン / 槍ゴブリン / 石落としこうもり / スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,火ゴブリン / 盾スケルトン / 弓スケルトン / 魔術師スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,氷スライム / 氷こうもり / 氷ゴブリン / 槍ゴブリン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,氷はち / 氷ゴブリン / 弓スケルトン / 魔術師スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,氷ゴブリン / 爆弾落としこうもり / スケルトン / 盾スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,スケルトン / 槍スケルトン / 弓スケルトン / 爆弾落としこうもり / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,盾スケルトン / 槍スケルトン / 石落としこうもり / 魔術師スケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,弓スケルトン / 魔術師スケルトン / 爆弾落としこうもり / 騎乗ゴブリン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,盾スケルトン / 弓スケルトン / 魔術師スケルトン / 騎乗ゴブリン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,魔術師スケルトン / でかスライム / 騎乗ゴブリン / 真似魔術師 / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,魔術師スケルトン / ボススケルトン / 騎乗ゴブリン / 反射スケルトン / 真似魔術師,ALL
7-1 (エクストラ),TimeElapsed,10,20,でかスライム / でかイノシシ / 騎乗ゴブリン / ボススケルトン / 反射スケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,騎乗ゴブリン / ボススケルトン / 反射スケルトン / 真似魔術師 / ボス魔術師,ALL
7-1 (エクストラ),TimeElapsed,10,20,真似魔術師 / 反射スケルトン / ボス魔術師 / 弓スケルトン / ボススケルトン,ALL
7-1 (エクストラ),TimeElapsed,10,20,ボス魔術師 / 反射スケルトン / 真似魔術師 / 弓スケルトン / ボススケルトン,ALL
