"ファイル名","呪文名","SpellType","Category","Rarity","説明"
"AccelDownSpell.asset","下降","AccelDown","Modifier","Common","下に向かって加速する。"
"AccelerationSpell.asset","加速","Acceleration","Modifier","Common","呪文の初速を上げる。"
"AccelLeftSpell.asset","左進","AccelLeft","Modifier","Common","左に向かって加速する。"
"AccelRightSpell.asset","右進","AccelRight","Modifier","Common","右に向かって加速する。"
"AccelUpSpell.asset","上昇","AccelUp","Modifier","Common","上に向かって加速する。"
"AddGravitySpell.asset","重力追加","AddGravity","Modifier","Common","呪文にかかる重力を増やす。"
"AttractionSpell.asset","引力","Attraction","Modifier","Rare","呪文に引力を付与する。"
"BarrierSpell.asset","バリア","Barrier","Attack","Uncommon","バリアを生成する。"
"BigBowSpell.asset","巨大矢","GiantArrow","Attack","Rare","巨大な矢を射出する。"
"BladeSpell.asset","ブレイド","Blade","Attack","Rare","鋭い魔力の刃を回転させる。"
"ChainCast2Spell.asset","同時詠唱 x2","TwoChainCast","Branch","Common","呪文を2つまとめて唱える。唱えられた呪文に効果が複製される。"
"ChainCast3Spell.asset","同時詠唱 x3","ThreeChainCast","Branch","Common","呪文を3つまとめて唱える。唱えられた呪文に効果が複製される。"
"ChainCast5Spell.asset","同時詠唱 x5","FiveChainCast","Branch","Uncommon","呪文を5つまとめて唱える。唱えられた呪文に効果が複製される。"
"ClickTriggerAddSpell.asset","クリックトリガー追加","AddClickTrigger","Other","Uncommon","右にある呪文にクリックトリガーを付与し、その次の呪文を発動させる。"
"ContractionSpell.asset","収縮","Contraction","Modifier","Common","呪文を収縮させる。"
"CoolTimeShortenFlatSpell.asset","固定値短縮","CoolTimeShortenFlat","Other","Rare","クールタイムを短縮する。"
"CoolTimeShortenSpell.asset","倍率短縮","CoolTimeShorten","Other","Epic","クールタイムを短縮する。"
"DamageChangeSpell_Additional.asset","ダメージ追加","AdditionalDamage","Modifier","Uncommon","ダメージを追加する。"
"DamageChangeSpell_Fire.asset","火ダメージ追加","FireDamage","Modifier","Uncommon","火ダメージを追加する。木・氷タイプの敵に効果抜群！氷ダメージを相殺する。"
"DamageChangeSpell_Healing.asset","回復量追加","HealingDamage","Modifier","Common","回復量を追加する。"
"DamageChangeSpell_Ice.asset","氷ダメージ追加","IceDamage","Modifier","Uncommon","氷ダメージを追加する。火タイプの敵に効果抜群！火ダメージを相殺する。"
"DamageChangeSpell_Knockback.asset","ノックバック","AdditionalKnockback","Modifier","Uncommon","ノックバックを追加する。"
"DamageChangeSpell_Water.asset","水ダメージ追加","WaterDamage","Modifier","Uncommon","水ダメージを追加する。火タイプの敵に効果抜群！"
"DamageChangeSpell_Wood.asset","木ダメージ追加","WoodDamage","Modifier","Uncommon","木ダメージを追加する。水タイプの敵に効果抜群！"
"DecelerationSpell.asset","減速","Deceleration","Modifier","Common","呪文の初速を下げる。"
"DirectivitySpell.asset","指向性","Directivity","Modifier","Uncommon","呪文の発射方向を最寄りの敵に向ける。"
"DownwardSpell.asset","下方","Downward","Modifier","Common","下向きに発射する。"
"ElasticitySpell.asset","弾性","Elasticity","Modifier","Uncommon","単発ヒット攻撃がバウンドするようになる。"
"EnchantSpell.asset","付与","Enchant","Attack","Rare","触れたものに修飾呪文の効果を付与する。"
"ErrorDegreeIncreaseSpell.asset","誤差増加","ErrorDegreeIncrease","Modifier","Common","誤差を増加させる。"
"ErrorDegreeReduceSpell.asset","誤差減少","ErrorDegreeReduce","Modifier","Uncommon","誤差を減少させる。"
"ExampleSpell_ClickTrigger.asset","クリックトリガー付きマジックショット","ExampleSpellClickTrigger","Attack","Common","クリックすると右の呪文が遅れて発射される光弾。"
"ExampleSpell.asset","マジックショット","ExampleSpell","Attack","Common","光弾を発射する。"
"ExpansionSpell.asset","膨張","Expansion","Modifier","Common","呪文を膨張させる。"
"ExtensionSpell.asset","延長","Extension","Modifier","Uncommon","持続時間を伸ばす。"
"FireflyTriggerSpell.asset","蛍","FireflyTrigger","Attack","Uncommon","ふわふわと飛びまわり、あらゆるものを透過する蛍を発射する。クリックで次の呪文を呼び出す。"
"FireShot.asset","ファイアショット","FireShot","Attack","Uncommon","炎の光弾を発射する。"
"FollowingSpell.asset","追従","Following","Other","Rare","右の呪文に、続く2つの呪文が上下に運動しながら追従する。"
"Gumball.asset","ガムボール","Gumball","Attack","Uncommon","何にでもくっつくボール。クリックで右の呪文を発射する。"
"HealArea.asset","ヒールエリア","AreaHeal","Attack","Epic","回復エリアを展開する。"
"HealShot.asset","ヒールショット","HealShot","Attack","Rare","癒やしの光弾を発射する。"
"HomingSpell.asset","追尾","Homing","Modifier","Rare","敵を追尾するようになる。"
"IceBreak.asset","アイスブレイク","IceBreak","Attack","Rare","巨大な氷の塊を放つ。"
"IceShot.asset","アイスショット","IceShot","Attack","Uncommon","氷の光弾を発射する。"
"InfernoSpell.asset","隕石","Inferno","Attack","Rare","炎の魔法陣を展開し、隕石を呼び寄せる。"
"InstantDeath.asset","即死","InstantDeath","Attack","Epic","あらゆるものを即死させる。これには詠唱者自身も含まれる。"
"InvertHorizontalSpell.asset","左右反転","InvertHorizontal","Modifier","Common","呪文の発射方向を左右反転させる。"
"InvertSpell.asset","反転","Invert","Modifier","Common","呪文の発射方向を反転させる。"
"InvertVerticalSpell.asset","上下反転","InvertVertical","Modifier","Common","呪文の発射方向を上下反転させる。"
"LowGravitySpell.asset","低重力","LowGravity","Modifier","Common","呪文にかかる重力を減らす。"
"MegaBeamSpell.asset","ビーム","MegaBeam","Attack","Epic","すべてを消し飛ばす凶悪ビームを発射する。"
"Multiplier2Spell.asset","複製 x2","TwoMultiplier","Other","Uncommon","右の呪文を2つにコピーして右に並べる。"
"Multiplier3Spell.asset","複製 x3","ThreeMultiplier","Other","Rare","右の呪文を3つにコピーして右に並べる。"
"Multiplier5Spell.asset","複製 x5","FiveMultiplier","Other","Epic","右の呪文を5つにコピーして右に並べる。"
"MultiSplit2.asset","多重詠唱 x2","TwoSplit","Other","Rare","右の呪文を2回呼び出す。"
"MultiSplit3.asset","多重詠唱 x3","ThreeSplit","Other","Rare","右の呪文を3回呼び出す。"
"MultiSplit5.asset","多重詠唱 x5","FiveSplit","Other","Epic","右の呪文を5回呼び出す。"
"OrbitSpell.asset","公転","Orbit","Other","Rare","最初の呪文の周りを後の2つの呪文が公転する。"
"PauseSpell.asset","一時停止","Pause","Modifier","Common","一定時間経過後に次の呪文を発射する。"
"PenetrationSpell.asset","透過性","Penetration","Modifier","Uncommon","呪文が透過性を持つようになる。"
"RandomChainCast2.asset","ランダム同時詠唱 x2","TwoRandomChainCast","Branch","Uncommon","次の2つの呪文からランダムに3つ選んで唱える。唱えられた呪文に効果が複製される。"
"RandomChainCast3.asset","ランダム同時詠唱 x3","ThreeRandomChainCast","Branch","Rare","次の3つの呪文からランダムに5つ選んで唱える。唱えられた呪文に効果が複製される。"
"RandomChainCast5.asset","ランダム同時詠唱 x5","FiveRandomChainCast","Branch","Epic","次の5つの呪文からランダムに8つ選んで唱える。唱えられた呪文に効果が複製される。"
"ReflectBarrierSpell.asset","反射バリア","ReflectBarrier","Attack","Rare","攻撃のターゲットを変更する反射バリアを生成する。"
"RemoteSpell.asset","遠隔","Remote","Modifier","Uncommon","離れた位置から発射する。"
"RepulsionSpell.asset","斥力","Repulsion","Modifier","Rare","呪文に斥力を付与する。"
"SelfHarmSpell.asset","自傷","SelfHarm","Modifier","Uncommon","攻撃対象を反転させる。"
"ShortenSpell.asset","短縮","Shorten","Modifier","Common","持続時間を縮める。"
"SkipSpell.asset","スキップ","Skip","Branch","Uncommon","1つ右の呪文をスキップし、その次の呪文を呼び出す。"
"TeleportHomingSpell.asset","転位","TeleportHoming","Modifier","Rare","近くの敵にテレポートするようになる。"
"TeleportSpell.asset","テレポート","Teleport","Attack","Rare","テレポートする。"
"TriggerAddSpell.asset","トリガー追加","AddTrigger","Other","Epic","右の呪文がヒットした際、次の呪文を呼び出す。"
"TurnLeftSpell.asset","左折","TurnLeft","Modifier","Common","発射方向を左に90度回転させる。"
"TurnRightSpell.asset","右折","TurnRight","Modifier","Common","発射方向を右に90度回転させる。"
"UpwardSpell.asset","上方","Upward","Modifier","Common","上向きに発射する。"
"VoidGateSpell.asset","ヴォイドゲート","VoidGate","Attack","Rare","地形を破壊するゲートを生成する。"
"WaterShot.asset","ウォーターショット","WaterShot","Attack","Common","水の光弾を発射する。"
"WoodShot.asset","ウッドショット","WoodShot","Attack","Common","木の光弾を発射する。"
